company_name,high,low,last_price,prev_close,change,percent_gain
Rattanindia Ent,59.88,49.91,58.95,49.90,9.05,18.14
Reliance Power,72.23,65.35,71.24,64.62,6.62,10.24
Jindal Saw,257.00,238.50,247.99,231.88,16.11,6.95
Jindal Saw,257.00,238.50,247.99,231.88,16.11,6.95
Alok Industries,21.40,19.49,20.86,19.53,1.33,6.81
Tata Inv Corp,"7,425.00","6,839.50","7,336.50","6,906.50",430,6.23
Adani Power,610.60,562.45,596.05,563.10,32.95,5.85
Data Patterns,"3,136.00","2,960.00","3,123.40","2,953.90",169.5,5.74
Network 18,57.49,54.61,57.08,54.48,2.6,4.77
Engineers India,245.99,232.01,242.37,232.01,10.36,4.47
Concord Biotech,"2,124.90","2,012.00","2,099.70","2,013.00",86.7,4.31
AWL Agri,279.25,266.80,278.05,267.80,10.25,3.83
Grasim,"2,742.00","2,666.60","2,708.00","2,608.50",99.5,3.81
AFFLE 3I,"1,985.00","1,867.00","1,939.00","1,868.70",70.3,3.76
Gillette India,"10,171.00","9,782.00","10,138.50","9,774.50",364,3.72
JK Bank,112.20,106.81,111.09,107.14,3.95,3.69
Oracle Fin Serv,"9,520.00","9,150.00","9,492.00","9,161.50",330.5,3.61
Valor Estate,226.25,213.00,225.30,217.53,7.77,3.57
Firstsource Sol,391.00,373.50,388.00,374.65,13.35,3.56
Blue Star,"1,634.70","1,565.50","1,624.50","1,569.40",55.1,3.51
LT Technology,"4,500.00","4,349.00","4,487.30","4,337.40",149.9,3.46
Eris Life,"1,701.50","1,636.40","1,691.70","1,636.40",55.3,3.38
Adani Total Gas,721.00,690.15,713.10,690.80,22.3,3.23
Kajaria Ceramic,"1,077.50","1,027.20","1,064.80","1,032.00",32.8,3.18
Torrent Power,"1,455.00","1,410.40","1,451.60","1,407.20",44.4,3.16
Dr Lal PathLab,"2,973.60","2,832.10","2,960.10","2,874.70",85.4,2.97
Pfizer,"5,809.00","5,621.50","5,773.50","5,608.50",165,2.94
Zee Entertain,135.56,129.10,131.05,127.42,3.63,2.85
Ramco Cements,"1,073.00","1,033.85","1,067.75","1,039.15",28.6,2.75
Persistent,"6,050.00","5,801.50","5,946.00","5,790.50",155.5,2.69
Persistent,"6,050.00","5,801.50","5,946.00","5,790.50",155.5,2.69
MphasiS,"2,685.00","2,605.10","2,671.40","2,603.00",68.4,2.63
Birlasoft,433.90,418.35,428.55,417.65,10.9,2.61
Adani Green Ene,"1,077.00","1,034.70","1,060.50","1,034.30",26.2,2.53
Redington,295.00,286.00,292.70,285.75,6.95,2.43
Voltas,"1,319.70","1,271.50","1,317.70","1,286.50",31.2,2.43
LTIMindtree,"5,445.00","5,259.50","5,385.00","5,258.00",127,2.42
Wockhardt,"1,558.80","1,508.30","1,546.60","1,510.00",36.6,2.42
Gujarat Pipavav,167.50,159.15,163.33,159.48,3.85,2.41
NALCO,194.37,188.00,191.70,187.24,4.46,2.38
Chambal Fert,566.50,549.30,565.00,551.95,13.05,2.36
Dr Reddys Labs,"1,362.60","1,321.00","1,348.80","1,319.10",29.7,2.25
Dr Reddys Labs,"1,362.60","1,321.00","1,348.80","1,319.10",29.7,2.25
Intellect Desig,"1,186.00","1,152.00","1,175.10","1,149.20",25.9,2.25
CRISIL,"5,539.00","5,372.00","5,510.50","5,390.00",120.5,2.24
Natco Pharma,888.60,857.75,881.65,863.10,18.55,2.15
Premier Energie,"1,119.80","1,076.10","1,084.40","1,062.20",22.2,2.09
Jyothy Labs,349.95,336.10,345.50,338.45,7.05,2.08
Hindustan Aeron,"5,147.00","5,022.10","5,112.10","5,008.60",103.5,2.07
Hindustan Aeron,"5,147.00","5,022.10","5,112.10","5,008.60",103.5,2.07
Shree Renuka,34.99,33.31,34.16,33.47,0.69,2.06
Raymond Life,"1,145.00","1,078.30","1,109.60","1,087.40",22.2,2.04
COFORGE LTD.,"1,895.00","1,817.00","1,830.50","1,794.00",36.5,2.03
Tata Motors,734.75,715.35,732.25,717.80,14.45,2.01
Tata Motors,734.75,715.35,732.25,717.80,14.45,2.01
Tech Mahindra,"1,633.50","1,579.00","1,610.90","1,579.10",31.8,2.01
DCM Shriram,"1,099.00","1,074.60","1,094.60","1,073.10",21.5,2
Chennai Petro,672.00,655.55,668.85,655.90,12.95,1.97
Cyient,"1,368.60","1,326.60","1,349.00","1,324.00",25,1.89
PTC Industries,"14,750.00","14,371.00","14,674.00","14,403.00",271,1.88
Hind Copper,265.34,260.60,263.64,258.87,4.77,1.84
ACME Solar,259.10,248.05,252.65,248.10,4.55,1.83
Dalmia Bharat,"2,172.10","2,120.00","2,159.80","2,121.60",38.2,1.8
Alkem Lab,"5,005.00","4,877.00","4,959.00","4,873.50",85.5,1.75
Suzlon Energy,69.50,66.80,68.29,67.13,1.16,1.73
Hind Zinc,546.80,528.10,534.05,525.00,9.05,1.72
Tata Power,416.00,406.20,413.20,406.20,7,1.72
Havells India,"1,583.70","1,531.00","1,569.60","1,543.80",25.8,1.67
KNR Construct,221.40,213.45,220.18,216.56,3.62,1.67
Welspun Living,141.15,137.28,139.80,137.55,2.25,1.64
Mah Seamless,708.00,683.65,695.50,684.35,11.15,1.63
Tube Investment,"3,095.00","3,039.60","3,088.70","3,039.60",49.1,1.62
Adani Energy,921.00,896.45,915.50,901.40,14.1,1.56
Fortis Health,781.00,758.30,778.90,767.20,11.7,1.53
RamkrishnaForge,676.90,661.50,674.10,663.95,10.15,1.53
Tata Tech,796.95,776.15,787.60,775.80,11.8,1.52
Kansai Nerolac,255.85,250.70,253.85,250.10,3.75,1.5
Trident,31.75,30.92,31.36,30.90,0.46,1.49
TBO Tek,"1,408.30","1,320.60","1,342.20","1,322.50",19.7,1.49
India Cements,349.70,341.65,347.45,342.40,5.05,1.47
Infosys,"1,607.50","1,577.50","1,596.00","1,572.90",23.1,1.47
Jaiprakash Pow,18.24,17.08,17.99,17.73,0.26,1.47
Zensar Tech,894.00,848.15,866.95,854.45,12.5,1.46
Mastek,"2,442.60","2,370.70","2,397.50","2,363.10",34.4,1.46
Ceat,"3,896.00","3,720.00","3,851.90","3,797.80",54.1,1.42
Deepak Fert,"1,587.00","1,527.70","1,553.30","1,531.60",21.7,1.42
Wipro,255.80,251.83,254.87,251.29,3.58,1.42
Finolex Ind,227.79,217.74,221.66,218.61,3.05,1.4
Jindal Stainles,729.05,715.05,726.10,716.35,9.75,1.36
Timken,"3,405.00","3,352.00","3,398.80","3,353.50",45.3,1.35
Fert and Chem,"1,074.00","1,037.40","1,063.05","1,049.15",13.9,1.32
Inox Wind,188.00,184.00,186.68,184.24,2.44,1.32
RHI Magnesita,460.00,448.75,454.20,448.35,5.85,1.3
Torrent Pharma,"3,237.60","3,177.90","3,221.00","3,180.70",40.3,1.27
Bharat Elec,401.85,394.70,397.40,392.45,4.95,1.26
New India Assur,194.90,191.53,194.59,192.16,2.43,1.26
Narayana Hruda,"1,822.00","1,791.50","1,813.90","1,791.50",22.4,1.25
Netweb,"1,986.00","1,936.10","1,955.40","1,931.20",24.2,1.25
Sterling Wilson,310.00,302.40,307.45,303.70,3.75,1.23
Castrol,225.86,221.20,223.13,220.43,2.7,1.22
Adani Enterpris,"2,663.20","2,577.70","2,613.10","2,582.10",31,1.2
Gujarat Fluoro,"3,728.70","3,636.10","3,683.60","3,639.90",43.7,1.2
HCL Tech,"1,684.90","1,649.00","1,668.10","1,648.30",19.8,1.2
KPIT Tech,"1,391.00","1,354.40","1,369.70","1,353.40",16.3,1.2
TCS,"3,485.80","3,423.20","3,462.90","3,421.90",41,1.2
Hindalco,663.50,652.15,658.35,650.80,7.55,1.16
Kirloskar Bros,"1,864.40","1,815.10","1,848.10","1,826.90",21.2,1.16
UltraTechCement,"11,484.00","11,335.00","11,391.00","11,260.00",131,1.16
Waaree Energies,"2,885.00","2,805.90","2,837.90","2,806.30",31.6,1.13
eClerx Services,"3,730.00","3,635.20","3,688.70","3,647.80",40.9,1.12
Minda Corp,583.65,565.00,574.35,568.00,6.35,1.12
Tata Elxsi,"6,735.00","6,651.50","6,705.00","6,631.50",73.5,1.11
Welspun Corp,994.00,959.10,965.90,955.25,10.65,1.11
Granules India,545.00,535.00,542.45,536.60,5.85,1.09
United Spirits,"1,645.00","1,603.40","1,609.90","1,592.70",17.2,1.08
Axis Bank,"1,235.90","1,218.40","1,232.80","1,219.90",12.9,1.06
GAIL,197.50,192.75,195.67,193.64,2.03,1.05
Glenmark,"1,630.00","1,594.50","1,615.60","1,599.20",16.4,1.03
AB Capital,246.85,240.50,242.66,240.23,2.43,1.01
Info Edge,"1,550.00","1,510.50","1,534.90","1,519.70",15.2,1
IndusInd Bank,857.35,836.00,845.05,836.65,8.4,1
Gland,"1,667.30","1,645.10","1,664.70","1,648.40",16.3,0.99
SBFC Finance,115.00,112.80,114.61,113.50,1.11,0.98
KFin Tech,"1,283.90","1,246.10","1,265.70","1,253.50",12.2,0.97
Bharat Dynamics,"1,991.90","1,942.00","1,967.20","1,948.60",18.6,0.95
Bharat Dynamics,"1,991.90","1,942.00","1,967.20","1,948.60",18.6,0.95
BHEL,263.40,258.20,260.55,258.15,2.4,0.93
ITC,428.55,423.05,427.00,423.05,3.95,0.93
Bajaj Holdings,"14,458.00","14,228.00","14,382.00","14,251.00",131,0.92
LT Finance,197.10,192.30,194.77,193.00,1.77,0.92
Sarda Energy,456.60,447.35,453.65,449.50,4.15,0.92
Sarda Energy,456.60,447.35,453.65,449.50,4.15,0.92
Biocon,348.15,339.55,341.20,338.15,3.05,0.9
Zen Tech,"2,057.90","2,002.80","2,031.60","2,013.70",17.9,0.89
