company_name,high,low,last_price,prev_close,change,percent_gain
Syrma SGS,505.10,443.85,505.10,420.95,84.15,19.99
Inox Wind,161.91,137.65,160.19,134.93,25.26,18.72
Deepak Fert,"1,284.00","1,124.90","1,259.45","1,118.70",140.75,12.58
Linde India,"6,661.00","5,677.00","6,289.75","5,645.90",643.85,11.4
CreditAccess Gr,"1,073.40",959.00,"1,064.00",961.00,103,10.72
Piramal Pharma,245.00,205.25,240.75,218.55,22.2,10.16
Anant Raj,587.95,542.65,587.95,534.50,53.45,10
Netweb,"1,607.65","1,471.65","1,607.65","1,461.50",146.15,10
KPIT Tech,"1,404.90","1,223.25","1,369.70","1,259.10",110.6,8.78
Newgen Software,"1,085.60",996.00,"1,070.00",986.95,83.05,8.41
CG Power ,625.00,574.95,623.05,574.95,48.1,8.37
NMDC Steel,42.32,38.16,41.29,38.15,3.14,8.23
Zensar Tech,852.20,786.10,849.20,786.25,62.95,8.01
Fortis Health,627.55,578.65,627.25,581.20,46.05,7.92
Jindal Saw,246.50,225.00,243.95,226.05,17.9,7.92
Jindal Saw,246.50,225.00,243.95,226.05,17.9,7.92
Jyoti CNC Auto,"1,067.60",992.10,"1,064.75",988.25,76.5,7.74
Brigade Ent,"1,207.30","1,013.00","1,092.00","1,013.90",78.1,7.7
Hitachi Energy,"10,700.00","9,360.05","10,343.20","9,621.75",721.45,7.5
Firstsource Sol,352.50,318.40,348.75,324.80,23.95,7.37
Indian Bank,553.75,510.55,546.55,514.15,32.4,6.3
Cera Sanitary,"6,587.00","6,220.00","6,569.80","6,180.25",389.55,6.3
TVS Motor,"2,539.20","2,356.80","2,478.70","2,335.80",142.9,6.12
IEX,178.96,167.30,177.25,167.21,10.04,6
Kaynes Tech,"5,134.00","4,591.05","4,935.00","4,661.35",273.65,5.87
Aegis Logistics,686.90,625.50,671.75,635.85,35.9,5.65
CRISIL,"5,372.55","5,060.00","5,350.70","5,064.55",286.15,5.65
Laurus Labs,540.80,511.80,539.60,510.75,28.85,5.65
Jubilant Pharmo,941.95,865.85,931.45,881.95,49.5,5.61
Zomato,219.75,210.20,219.70,208.20,11.5,5.52
Action Const,"1,307.90","1,237.10","1,305.00","1,237.10",67.9,5.49
Persistent,"6,259.85","5,970.00","6,232.40","5,910.30",322.1,5.45
Persistent,"6,259.85","5,970.00","6,232.40","5,910.30",322.1,5.45
Schneider Infra,707.40,611.20,660.60,626.95,33.65,5.37
NCC,240.65,227.40,236.95,225.10,11.85,5.26
Avanti Feeds,707.95,651.30,694.20,659.95,34.25,5.19
BHEL,197.89,184.14,197.36,187.62,9.74,5.19
Godawari Power,177.10,165.52,176.49,167.87,8.62,5.13
Godawari Power,177.10,165.52,176.49,167.87,8.62,5.13
Ujjivan Small,33.80,31.74,33.58,31.98,1.6,5
Suzlon Energy,52.77,52.77,52.77,50.26,2.51,4.99
Navin Fluorine,"3,774.80","3,502.00","3,739.85","3,562.35",177.5,4.98
Himadri Special,484.80,458.05,484.10,461.65,22.45,4.86
Shree Renuka,38.39,36.12,37.55,35.81,1.74,4.86
CAMS,"3,931.90","3,710.40","3,900.55","3,720.40",180.15,4.84
Vijaya Diagnost,992.65,917.05,975.40,931.20,44.2,4.75
Supreme Ind,"3,806.90","3,630.00","3,788.95","3,617.40",171.55,4.74
eClerx Services,"3,127.95","2,974.95","3,121.55","2,980.85",140.7,4.72
HBL Eng,542.15,516.45,536.75,512.60,24.15,4.71
Chola Fin Hold,"1,503.10","1,423.85","1,498.95","1,432.25",66.7,4.66
Coromandel Int,"1,796.00","1,705.00","1,792.95","1,713.45",79.5,4.64
Metropolis,"1,788.95","1,702.20","1,788.25","1,708.90",79.35,4.64
Chola Invest.,"1,304.50","1,230.05","1,299.20","1,241.70",57.5,4.63
Gujarat Pipavav,149.80,142.62,149.24,142.64,6.6,4.63
Godrej Ind,883.05,836.80,872.65,834.00,38.65,4.63
Kirloskar Oil,895.10,848.30,883.20,844.45,38.75,4.59
Akums Drugs & P,587.35,551.15,580.15,554.75,25.4,4.58
Railtel,370.80,352.50,367.25,351.40,15.85,4.51
