company_name,high,low,last_price,prev_close,change,percent_gain
Godawari Power,183.00,165.99,182.19,163.73,18.46,11.27
Godawari Power,183.00,165.99,182.19,163.73,18.46,11.27
Castrol,251.95,228.33,247.17,222.33,24.84,11.17
Chennai Petro,528.70,480.00,521.60,471.30,50.30,10.67
Jindal Saw,271.56,252.00,270.75,250.36,20.39,8.14
Jindal Saw,271.56,252.00,270.75,250.36,20.39,8.14
Amber Enterpris,"6,350.00","5,862.05","6,271.00","5,812.05",458.95,7.9
CreditAccess Gr,"1,021.95",923.85,991.80,920.25,71.55,7.78
Jyoti CNC Auto,927.70,832.90,892.40,833.30,59.10,7.09
Vijaya Diagnost,"1,105.00","1,006.15","1,091.80","1,022.15",69.65,6.81
Triveni Turbine,546.75,512.20,534.05,500.75,33.30,6.65
MRPL,114.71,107.69,113.11,106.29,6.82,6.42
Jindal Stainles,655.00,622.65,652.20,613.45,38.75,6.32
Ujjivan Small,33.99,32.38,33.98,32.07,1.91,5.96
JSW Infra,267.50,254.00,266.75,251.80,14.95,5.94
Varroc Engineer,457.20,427.95,448.90,425.35,23.55,5.54
Kirloskar Oil,634.00,600.50,633.10,601.70,31.40,5.22
Jubilant Ing.,665.00,630.00,662.25,629.70,32.55,5.17
Sapphire Foods,346.00,312.80,326.00,310.10,15.90,5.13
Sapphire Foods,346.00,312.80,326.00,310.10,15.90,5.13
RHI Magnesita,434.40,404.25,424.00,403.50,20.50,5.08
UTI AMC,989.95,937.55,977.60,930.55,47.05,5.06
Caplin Labs,"1,959.00","1,860.00","1,938.90","1,845.65",93.25,5.05
Route,"1,120.00","1,026.00","1,051.30","1,001.15",50.15,5.01
Godfrey Phillip,"5,418.60","5,181.20","5,418.60","5,160.60",258.00,5
PTC Industries,"11,909.10","11,909.10","11,909.10","11,342.00",567.10,5
Graphite India,413.00,393.00,411.20,391.95,19.25,4.91
MMTC Ltd,55.90,52.50,54.33,51.82,2.51,4.84
Zensar Tech,756.95,726.30,752.80,718.85,33.95,4.72
Asian Paints,"2,267.15","2,183.10","2,263.20","2,164.15",99.05,4.58
Adani Energy,746.60,707.60,741.35,709.45,31.90,4.5
SUMITOMO,504.90,480.50,501.65,480.25,21.40,4.46
NLC India,237.31,221.11,232.16,222.33,9.83,4.42
Easy Trip,12.42,11.85,12.27,11.78,0.49,4.16
Easy Trip,12.42,11.85,12.27,11.78,0.49,4.16
CHEMPLAST SANMA,442.00,420.05,441.30,423.70,17.60,4.15
Radico Khaitan,"2,194.50","2,105.00","2,192.60","2,105.15",87.45,4.15
Just Dial,870.40,835.10,863.55,829.20,34.35,4.14
Global Health,"1,244.90","1,201.10","1,244.90","1,195.55",49.35,4.13
Guj Mineral,262.40,252.80,259.00,248.79,10.21,4.1
