company_name,high,low,last_price,prev_close,change,percent_gain
Poly Medicure,"3,357.80","2,917.45","3,185.00","2,874.30",310.7,10.81
Jubilant Pharmo,"1,279.75","1,225.00","1,275.00","1,211.75",63.25,5.22
Piramal Pharma,284.50,271.45,282.10,268.47,13.63,5.08
NCC,317.95,311.35,312.95,298.80,14.15,4.74
Motilal Oswal,989.15,945.85,976.50,937.30,39.2,4.18
RBL Bank,176.75,170.01,176.74,169.75,6.99,4.12
PCBL,442.00,416.10,426.95,410.95,16,3.89
IIFL Finance,456.30,437.90,453.45,436.80,16.65,3.81
EIH,380.10,365.15,378.15,364.45,13.7,3.76
Vodafone Idea,8.53,8.23,8.42,8.12,0.3,3.69
M&M,"2,840.90","2,780.00","2,825.35","2,728.55",96.8,3.55
Brigade Ent,"1,284.70","1,191.90","1,220.05","1,178.80",41.25,3.5
Zomato,250.00,244.15,249.80,241.75,8.05,3.33
IRB Infra,53.59,52.90,53.56,51.85,1.71,3.3
IRB Infra,53.59,52.90,53.56,51.85,1.71,3.3
PNB,101.17,98.61,101.09,97.90,3.19,3.26
HEG,445.80,434.05,445.70,432.30,13.4,3.1
HEG,445.80,434.05,445.70,432.30,13.4,3.1
Campus Active,304.40,297.20,303.90,295.00,8.9,3.02
Sterling Wilson,603.35,587.95,602.00,584.70,17.3,2.96
Chalet Hotels,907.85,880.00,896.00,870.90,25.1,2.88
NBCC (India),100.90,97.55,99.96,97.19,2.77,2.85
MRPL,151.99,148.61,151.90,147.76,4.14,2.8
Whirlpool,"2,095.00","1,986.00","2,045.00","1,989.30",55.7,2.8
Bharat Dynamics,"1,119.90","1,089.00","1,115.50","1,085.30",30.2,2.78
Bharat Dynamics,"1,119.90","1,089.00","1,115.50","1,085.30",30.2,2.78
Blue Star,"1,925.00","1,880.00","1,922.95","1,871.05",51.9,2.77
CG Power ,725.00,711.90,723.90,704.40,19.5,2.77
Delhivery,366.00,356.20,365.95,356.10,9.85,2.77
Linde India,"7,890.00","7,700.00","7,865.95","7,654.65",211.3,2.76
Aarti Ind,528.35,512.00,524.95,510.90,14.05,2.75
UTI AMC,"1,373.95","1,346.00","1,369.00","1,333.50",35.5,2.66
Chennai Petro,656.60,647.05,656.35,639.70,16.65,2.6
ONGC,273.00,268.65,273.00,266.15,6.85,2.57
Tanla Platforms,784.00,750.50,771.15,752.20,18.95,2.52
JK Lakshmi Cem,834.60,810.45,829.95,810.20,19.75,2.44
Triveni Turbine,709.90,695.00,708.50,691.90,16.6,2.4
DOMS Industries,"2,875.00","2,802.05","2,851.00","2,785.10",65.9,2.37
Westlife Food,779.95,758.00,778.00,760.20,17.8,2.34
Tata Tech,"1,032.00","1,012.00","1,029.85","1,006.30",23.55,2.34
Birla Corp,"1,200.00","1,171.00","1,195.10","1,168.05",27.05,2.32
KPIT Tech,"1,428.25","1,416.55","1,424.90","1,393.25",31.65,2.27
Adani Green Ene,"1,639.55","1,614.45","1,633.90","1,598.30",35.6,2.23
L&T Finance,149.50,146.70,149.26,146.00,3.26,2.23
Phoenix Mills,"1,560.00","1,529.95","1,555.45","1,522.15",33.3,2.19
Craftsman,"5,225.35","5,100.00","5,210.00","5,099.15",110.85,2.17
Borosil Renew,462.00,447.50,456.15,446.60,9.55,2.14
Mah Seamless,640.00,627.50,639.15,625.85,13.3,2.13
Ujjivan Small,39.00,38.15,38.90,38.09,0.81,2.13
Emami,719.95,711.00,718.10,703.35,14.75,2.1
SAIL,118.80,116.36,118.18,115.75,2.43,2.1
Sun TV Network,769.00,740.15,767.95,752.20,15.75,2.09
Nuvoco Vistas,362.65,353.70,360.00,352.70,7.3,2.07
DCM Shriram,"1,075.00","1,050.00","1,069.65","1,048.15",21.5,2.05
IDFC First Bank,67.62,66.50,67.28,65.93,1.35,2.05
Indiamart Inter,"2,561.95","2,511.75","2,551.00","2,500.00",51,2.04
Eris Life,"1,350.00","1,323.15","1,349.95","1,323.15",26.8,2.03
Prince Pipes,487.35,477.25,482.50,473.10,9.4,1.99
Motherson SWI,64.06,63.19,64.04,62.80,1.24,1.97
Sundaram Fin,"4,900.00","4,804.25","4,898.90","4,804.25",94.65,1.97
IOC,145.39,143.00,145.39,142.62,2.77,1.94
Avenue Supermar,"4,010.00","3,939.95","4,006.00","3,930.70",75.3,1.92
BLS Internation,408.60,400.25,405.50,397.85,7.65,1.92
Lemon Tree,120.41,118.40,120.00,117.75,2.25,1.91
NHPC,84.38,83.01,84.17,82.60,1.57,1.9
Star Health,518.95,506.25,513.55,503.95,9.6,1.9
Aditya Birla F,317.90,310.00,313.95,308.15,5.8,1.88
Manappuram Fin,160.74,157.27,159.99,157.05,2.94,1.87
Sona BLW,720.00,686.45,698.50,685.70,12.8,1.87
eClerx Services,"2,982.25","2,930.00","2,964.50","2,910.55",53.95,1.85
Suzlon Energy,68.40,67.20,68.19,66.95,1.24,1.85
KEC Intl,"1,020.70",992.60,"1,003.00",984.90,18.1,1.84
Indian Hotels,692.60,678.05,689.00,676.70,12.3,1.82
Medplus Health,680.00,667.10,678.95,666.85,12.1,1.81
Indigo Paints,"1,684.80","1,652.05","1,675.00","1,645.40",29.6,1.8
Kalyan Jeweller,675.00,665.80,668.95,657.15,11.8,1.8
Jupiter Wagons,526.50,518.05,525.00,515.75,9.25,1.79
Cochin Shipyard,"1,530.00","1,505.00","1,524.00","1,497.20",26.8,1.79
Cochin Shipyard,"1,530.00","1,505.00","1,524.00","1,497.20",26.8,1.79
Castrol,215.29,212.00,214.03,210.32,3.71,1.76
Tejas Networks,"1,381.35","1,348.00","1,365.45","1,341.85",23.6,1.76
Welspun Living,155.70,153.00,154.89,152.21,2.68,1.76
New India Assur,200.62,196.99,199.35,195.94,3.41,1.74
Rajesh Exports,263.60,258.35,262.15,257.70,4.45,1.73
CAMS,"4,527.90","4,460.25","4,520.00","4,443.70",76.3,1.72
Yes Bank,20.75,20.57,20.75,20.40,0.35,1.72
Capri Global,207.50,204.00,205.95,202.49,3.46,1.71
Capri Global,207.50,204.00,205.95,202.49,3.46,1.71
Nuvama Wealth,"7,124.00","7,020.00","7,110.00","6,990.15",119.85,1.71
Finolex Cables,"1,256.50","1,237.15","1,244.35","1,223.50",20.85,1.7
R R Kabel,"1,558.70","1,516.95","1,532.10","1,506.65",25.45,1.69
PNC Infratech,325.10,320.00,323.45,318.15,5.3,1.67
JK Bank,102.40,100.88,102.10,100.43,1.67,1.66
Schaeffler Ind,"3,503.35","3,444.05","3,492.40","3,435.90",56.5,1.64
CreditAccess Gr,"1,002.95",990.10,998.00,981.95,16.05,1.63
NMDC Steel,48.55,47.68,48.25,47.49,0.76,1.6
Varun Beverages,610.00,600.00,607.20,597.75,9.45,1.58
Varun Beverages,610.00,600.00,607.20,597.75,9.45,1.58
Varun Beverages,610.00,600.00,607.20,597.75,9.45,1.58
TataTeleservice,75.00,73.69,74.60,73.45,1.15,1.57
Laurus Labs,502.55,493.20,498.80,491.25,7.55,1.54
Natco Pharma,"1,439.80","1,421.30","1,424.45","1,402.95",21.5,1.53
Equitas Bank,71.04,70.18,70.95,69.89,1.06,1.52
IRCTC,833.80,820.15,833.80,821.30,12.5,1.52
Quess Corp,739.00,728.05,734.00,723.00,11,1.52
SJVN,115.10,113.55,115.05,113.33,1.72,1.52
Fortis Health,643.90,633.55,634.10,624.70,9.4,1.5
Bank of India,110.79,107.21,110.31,108.69,1.62,1.49
APL Apollo,"1,544.50","1,517.60","1,543.10","1,520.45",22.65,1.49
Concord Biotech,"1,875.10","1,832.35","1,857.50","1,830.30",27.2,1.49
Trident,35.47,35.00,35.14,34.63,0.51,1.47
Kajaria Ceramic,"1,229.80","1,209.95","1,218.00","1,200.65",17.35,1.45
Varroc Engineer,526.50,520.05,526.50,518.95,7.55,1.45
SKF India,"5,255.00","5,155.50","5,233.00","5,158.70",74.3,1.44
AB Capital,208.80,204.16,206.11,203.23,2.88,1.42
Grindwell Norto,"2,304.75","2,218.70","2,244.85","2,213.55",31.3,1.41
Kaynes Tech,"5,550.00","5,471.80","5,517.00","5,440.05",76.95,1.41
Endurance Techn,"2,409.55","2,368.55","2,407.85","2,374.65",33.2,1.4
MMTC Ltd,80.10,79.00,79.90,78.80,1.1,1.4
SBI Card,699.00,684.30,698.05,688.40,9.65,1.4
HBL Power,570.90,564.05,569.65,561.80,7.85,1.4
Thermax,"5,012.75","4,952.50","4,994.00","4,925.45",68.55,1.39
Adani Ports,"1,397.95","1,378.40","1,395.00","1,375.95",19.05,1.38
Carborundum,"1,400.95","1,377.65","1,397.90","1,378.95",18.95,1.37
Jyothy Labs,535.00,521.50,526.20,519.10,7.1,1.37
Tata Elxsi,"7,134.00","7,030.00","7,117.00","7,021.85",95.15,1.36
Timken,"3,444.00","3,390.00","3,435.00","3,388.75",46.25,1.36
Mahindra Life,507.95,496.10,501.65,494.95,6.7,1.35
Alok Industries,23.10,22.59,22.76,22.46,0.3,1.34
Birlasoft,557.80,553.10,557.45,550.10,7.35,1.34
Cera Sanitary,"7,380.00","7,216.50","7,280.00","7,183.85",96.15,1.34
Escorts Kubota,"3,825.00","3,656.65","3,795.00","3,745.10",49.9,1.33
