company_name,high,low,last_price,prev_close,change,percent_gain
Narayana Hruda,"2,093.30","1,829.30","2,008.20","1,753.50",254.7,14.53
MRPL,185.00,172.18,183.52,171.83,11.69,6.8
Jubilant Ing.,721.85,681.25,718.25,683.00,35.25,5.16
HUDCO,241.25,228.00,239.14,227.49,11.65,5.12
Just Dial,779.00,734.10,772.20,734.95,37.25,5.07
Alembic Pharma,955.00,911.00,948.85,904.05,44.8,4.96
Chennai Petro,"1,079.80","1,030.50","1,079.60","1,029.00",50.6,4.92
India Cements,415.00,390.05,412.15,392.85,19.3,4.91
Siemens,"3,242.00","3,093.40","3,232.60","3,084.20",148.4,4.81
Transformers,342.80,322.50,333.35,318.20,15.15,4.76
Hero Motocorp,"5,810.00","5,571.00","5,798.50","5,538.50",260,4.69
Alivus Life,950.00,904.00,946.30,904.70,41.6,4.6
PB Fintech,"1,821.00","1,721.20","1,818.00","1,738.60",79.4,4.57
Mastek,"2,369.00","2,275.60","2,336.40","2,235.00",101.4,4.54
JSW Holdings,"18,037.00","16,955.00","17,944.00","17,192.00",752,4.37
Sammaan Capital,184.72,175.77,183.66,176.14,7.52,4.27
Akums Drugs P,445.05,424.30,440.50,424.30,16.2,3.82
IOB,40.74,38.80,40.27,38.79,1.48,3.82
Angel One,"2,864.40","2,755.10","2,849.10","2,745.30",103.8,3.78
eClerx Services,"4,584.70","4,400.60","4,565.10","4,400.60",164.5,3.74
IRB Infra,45.95,44.15,44.54,42.96,1.58,3.68
FSN E-Co Nykaa,269.90,257.69,268.74,260.13,8.61,3.31
Bank of Mah,60.33,57.94,59.91,58.01,1.9,3.28
Devyani Int,146.00,138.10,142.57,138.07,4.5,3.26
Ircon Internati,172.30,163.21,168.30,163.27,5.03,3.08
Godrej Agrovet,589.30,569.80,584.30,567.00,17.3,3.05
Asahi India,"1,005.00",968.05,998.50,969.35,29.15,3.01
Marico,764.65,750.20,760.70,738.70,22,2.98
Yes Bank,23.33,22.58,23.16,22.50,0.66,2.93
Sobha,"1,622.80","1,576.30","1,618.50","1,573.80",44.7,2.84
TBO Tek,"1,630.00","1,554.50","1,617.00","1,572.40",44.6,2.84
Anant Raj,642.95,626.60,633.40,616.10,17.3,2.81
PCBL Chemical,349.35,340.45,348.45,339.40,9.05,2.67
City Union Bank,283.09,271.14,277.73,270.59,7.14,2.64
Elgi Equipments,534.40,500.15,514.70,501.50,13.2,2.63
KNR Construct,174.60,167.75,172.63,168.21,4.42,2.63
TVS Motor,"3,481.00","3,385.00","3,475.40","3,386.50",88.9,2.63
IIFL Finance,562.65,545.30,561.60,547.30,14.3,2.61
One 97 Paytm,"1,336.00","1,302.60","1,332.90","1,299.20",33.7,2.59
Inox India,"1,260.00","1,201.00","1,231.40","1,200.50",30.9,2.57
EID Parry,"1,063.50","1,028.70","1,051.10","1,025.40",25.7,2.51
RITES,254.80,246.00,252.50,246.32,6.18,2.51
Home First,"1,237.90","1,180.10","1,230.30","1,200.30",30,2.5
AU Small Financ,919.40,892.15,912.70,890.60,22.1,2.48
Granules India,563.80,545.30,561.70,548.20,13.5,2.46
Central Bank,39.55,37.91,38.84,37.91,0.93,2.45
Indian Bank,891.25,872.05,889.55,868.45,21.1,2.43
Jubilant Pharmo,"1,162.00","1,133.50","1,158.90","1,131.40",27.5,2.43
Biocon,423.15,409.60,420.95,411.15,9.8,2.38
Engineers India,210.97,201.40,204.99,200.25,4.74,2.37
NBCC (India),117.50,113.70,116.82,114.14,2.68,2.35
Global Health,"1,210.20","1,175.00","1,202.10","1,174.90",27.2,2.32
Honasa Consumer,302.30,285.40,298.85,292.10,6.75,2.31
Cummins,"4,389.80","4,287.90","4,381.20","4,283.20",98,2.29
Laurus Labs,"1,025.00",997.30,"1,021.85",999.00,22.85,2.29
Deepak Fert,"1,451.00","1,405.50","1,443.50","1,411.60",31.9,2.26
Sapphire Foods,253.50,245.80,251.25,245.80,5.45,2.22
PVR INOX,"1,121.00","1,084.20","1,107.20","1,083.30",23.9,2.21
Motherson SWI,49.09,47.73,49.01,47.96,1.05,2.19
PTC Industries,"17,379.00","16,950.00","17,312.00","16,944.00",368,2.17
Canara Bank,150.32,146.27,149.12,146.07,3.05,2.09
GMR Airports,98.08,96.42,97.65,95.67,1.98,2.07
Escorts Kubota,"3,636.00","3,552.00","3,623.40","3,551.10",72.3,2.04
Eternal,309.80,300.55,309.75,303.75,6,1.98
ABSL AMC,751.00,734.30,748.40,733.95,14.45,1.97
UPL,774.95,758.00,773.20,758.60,14.6,1.92
Schaeffler Ind,"4,197.00","4,086.10","4,163.20","4,086.10",77.1,1.89
ICICI Lombard ,"2,052.40","2,011.80","2,042.90","2,005.10",37.8,1.89
Timken,"3,139.50","3,040.00","3,122.60","3,065.00",57.6,1.88
MM Financial,314.50,308.45,314.40,308.65,5.75,1.86
Adani Green Ene,"1,092.50","1,065.40","1,088.60","1,068.80",19.8,1.85
Elecon Eng,547.00,532.00,545.55,535.65,9.9,1.85
Kirloskar Bros,"1,789.50","1,733.40","1,764.90","1,732.90",32,1.85
Rail Vikas,335.65,321.40,327.00,321.05,5.95,1.85
Emcure Pharmace,"1,447.60","1,371.00","1,397.10","1,371.80",25.3,1.84
Bayer CropScien,"4,574.00","4,460.70","4,558.40","4,476.20",82.2,1.84
AIA Engineering,"3,773.00","3,693.00","3,760.40","3,693.00",67.4,1.83
Niva Bupa Healt,78.69,76.72,77.96,76.57,1.39,1.82
TATA Cons. Prod,"1,182.80","1,158.00","1,178.90","1,157.80",21.1,1.82
UCO Bank,32.00,30.82,31.28,30.72,0.56,1.82
ABB India,"5,060.00","4,926.00","5,041.50","4,952.50",89,1.8
Railtel,372.20,357.55,364.50,358.10,6.4,1.79
Jyoti CNC Auto,"1,003.95",963.90,972.40,955.35,17.05,1.78
L&T Finance,301.50,292.95,299.40,294.15,5.25,1.78
Apar Ind,"9,300.00","9,085.50","9,230.50","9,071.00",159.5,1.76
Tata Comm,"1,910.00","1,875.70","1,906.90","1,874.00",32.9,1.76
CRISIL,"4,795.00","4,651.60","4,718.80","4,639.20",79.6,1.72
Voltas,"1,390.00","1,353.10","1,373.90","1,350.90",23,1.7
Atul,"6,040.00","5,915.00","6,016.50","5,916.50",100,1.69
TITAGARH,901.85,868.05,881.10,866.45,14.65,1.69
